TIME(y) R_IN(t) R_OUT(t) STOCK(t)  
66.4167 1886 1724.35 1724.35
66.5 1886 1724.35 1724.35
66.5833 1886 1724.35 1724.35
66.6667 1886 1724.35 1724.35
66.75 1886 1724.35 1724.35
66.8333 1886 1724.35 1724.35
66.9167 1886 1724.35 1724.35
67 1886 1724.35 1724.35
67.0833 1886 1724.35 1724.35
67.1667 1886 1724.35 1724.35
67.25 1886 1724.35 1724.35
67.3333 1886 1724.35 1724.35
67.4167 1886 1724.35 1724.35
67.5 1886 1724.35 1724.35
67.5833 1886 1724.35 1724.35
67.6667 1886 1724.35 1724.35
67.75 1886 1724.35 1724.35
67.8333 1886 1724.35 1724.35
67.9167 1886 1724.35 1724.35
68 1886 1724.35 1724.35
68.0833 1886 1724.35 1724.35
68.1667 1886 1724.35 1724.35
68.25 1886 1724.35 1724.35
68.3333 1886 1724.35 1724.35
68.4167 1886 1724.35 1724.35
68.5 1886 1724.35 1724.35
68.5833 1886 1724.35 1724.35
68.6667 1886 1724.35 1724.35
68.75 1886 1724.35 1724.35
68.8333 1886 1724.35 1724.35
68.9167 1886 1724.35 1724.35
69 1886 1724.35 1724.35
69.0833 1968 1802.73 1802.73
69.1667 1968 1802.73 1802.73
69.25 1968 1802.73 1802.73
69.3333 1968 1802.73 1802.73
69.4167 1968 1802.73 1802.73
69.5 1968 1802.73 1802.73
69.5833 1968 1802.73 1802.73
69.6667 1968 1802.73 1802.73
69.75 1968 1802.73 1802.73
69.8333 1968 1802.73 1802.73
69.9167 1968 1802.73 1802.73
70 1968 1802.73 1802.73
70.0833 1968 1802.73 1802.73
70.1667 1968 1802.73 1802.73
70.25 1968 1802.73 1802.73
70.3333 1968 1802.73 1802.73
70.4167 1968 1802.73 1802.73
70.5 1968 1802.73 1802.73
70.5833 1968 1802.73 1802.73
70.6667 1968 1802.73 1802.73
70.75 1968 1802.73 1802.73
70.8333 1968 1802.73 1802.73
70.9167 1968 1802.73 1802.73
71 1968 1802.73 1802.73
71.0833 1968 1802.73 1802.73
71.1667 1968 1802.73 1802.73
71.25 1968 1802.73 1802.73
71.3333 1968 1802.73 1802.73
71.4167 1968 1802.73 1802.73
71.5 1968 1802.73 1802.73
71.5833 1968 1802.73 1802.73
71.6667 1968 1802.73 1802.73
71.75 1968 1802.73 1802.73
71.8333 1968 1802.73 1802.73
71.9167 1968 1802.73 1802.73
72 1968 1802.73 1802.73
72.0833 2050 1881.11 1881.11
72.1667 2050 1881.11 1881.11
72.25 2050 1881.11 1881.11
72.3333 2050 1881.11 1881.11
72.4167 2050 1881.11 1881.11
72.5 2050 1881.11 1881.11
72.5833 2050 1881.11 1881.11
